category,events,points,tid,tname,tc,tbc,tbd
A,3,48,1986,DBR,ffffff,eb7b2a,ffffff
A,5,45,4,BRT,ffffff,050505,ff8100
A,1,26,90,Vikings,c2c2c2,0073b7,ee6331
A,1,19,3711,&#9888;&#65039; Dropouts,fa0009,ffff0b,aaaaff
A,1,17,2709,ZOA,3fff5e,545050,000000
A,2,13,843,MDCC,ffffff,0073b7,ffffff
A,1,5,4338,Contact RT,ffffff,120a0a,fafafa
B,9,98,4,BRT,ffffff,050505,ff8100
B,1,34,161,ZSUN,ffffff,0073b7,ffffff
B,1,31,1958,Team ZWC,f70f66,292935,ea0026
B,1,29,791,Race3R,000000,2bc3f4,ffffff
B,1,27,1811,Deeside,ffffff,0073b7,ffffff
B,1,26,975,Innovation,000000,52ff33,000000
B,1,25,4337,Muckle CC,ffffff,0073b7,ffffff
B,1,21,2349,CBT,ffffff,000000,ffffff
B,1,18,574,Team France,dd4b39,ffffff,0073b7
B,1,15,2571,Equipe JZQc,ffffff,003399,ffffff
B,1,15,1426,Team CLS,3d9970,ffffff,ffffff
B,1,10,2306,Fell Swoop,ffa500,000000,000000
B,1,9,90,Vikings,c2c2c2,0073b7,ee6331
B,1,7,32,Sz,f3f300,0073b7,f3f300
B,1,7,36,KISS RT,f56600,012350,84b7ca
B,1,4,25,Team Poland,ffffff,ff1800,ff0000
B,1,3,2707,DIRT,29ec34,563c0f,df6a0d
B,1,1,10,TFC,111111,f3f300,111111
C,7,72,4,BRT,ffffff,050505,ff8100
C,1,26,168,Team Type 1,ffffff,0073b7,ffffff
C,2,22,10,TFC,111111,f3f300,111111
C,1,19,1574,Drinks Team,ffffff,0073b7,ffffff
C,1,17,120,MTCT,040312,9cb2e8,d4e60d
C,1,11,2639,HERD,383c3d,fc6719,383c3d
C,1,9,2707,DIRT,29ec34,563c0f,df6a0d
C,1,5,25,Team Poland,ffffff,ff1800,ff0000
D,3,27,4,BRT,ffffff,050505,ff8100
D,1,10,2707,DIRT,29ec34,563c0f,df6a0d
