category,events,points,tid,tname,tc,tbc,tbd
A,5,45,9,Vision,ffffff,2ea9e0,000000
A,5,28,4,BRT,ffffff,050505,ff8100
A,1,10,4201,WTRL,f5f3f3,8f8f8f,010000
A,1,10,2834,FZR,0000ff,ffffff,0000ff
A,1,7,90,Vikings,c2c2c2,0073b7,ee6331
A,1,7,2,Team X,f5f7f6,111111,00a65a
A,1,7,4493,ZTPL eRacing,ffffff,ff0000,000000
A,1,7,984,HFR,ffffff,0073b7,ffffff
A,1,5,4460,GCA,000000,f50000,401414
A,1,5,4222,2RR,ffffff,1010de,ff0000
A,1,3,32,Sz,f3f300,0073b7,f3f300
A,1,1,1330,teamWKG,fa5e06,3f4c54,3f4c54
A,1,1,4136,FastFitnessTips,ffffff,121219,ffff00
B,15,287,4,BRT,ffffff,050505,ff8100
B,3,67,1942,ZRG,1bc1f1,3d3d3d,1bc1f1
B,3,45,2291,NFCC,fcfcfc,d40707,14ab1a
B,3,39,4614,MA_IL,ffffff,0073b7,ffffff
B,1,25,36,KISS RT,f56600,012350,84b7ca
B,1,21,3343,BMPRO,120303,ffff00,2b0a0a
B,1,17,90,Vikings,c2c2c2,0073b7,ee6331
B,1,17,2944,TTU,ffffff,0073b7,ffffff
B,1,17,1426,Team CLS,3d9970,ffffff,ffffff
B,1,15,2707,DIRT,29ec34,563c0f,df6a0d
B,1,15,2378,RRH,ffffff,e60000,000000
B,1,13,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
B,1,13,4372,Tri hard,ffffff,0073b7,ffffff
B,1,11,3185,FUSION DEVELOPMENT,ffffff,0a1e29,ffffff
B,1,11,4062,SBC,ffffff,2d3f54,54980b
B,2,10,1986,DBR,ffffff,eb7b2a,ffffff
B,1,9,2281,TeamNL,ffffff,ffa500,ffa500
B,1,9,2834,FZR,0000ff,ffffff,0000ff
B,1,9,3261,TriRun ,ffffff,0073b7,ffffff
B,1,9,161,ZSUN,ffffff,0073b7,ffffff
B,1,7,3208,ART,ffffff,0073b7,ffffff
B,1,7,2054,ZJRT,ac1d88,0073b7,cdac1f
B,1,7,4364,FFC,ffffff,0073b7,ffffff
B,1,5,1826,BOC,ffffff,0073b7,ffffff
B,1,5,791,Race3R,000000,2bc3f4,ffffff
B,1,5,10,TFC,111111,f3f300,111111
B,1,4,2363,KRS,ffffff,35b59e,000000
B,1,2,290,Maximus,ffffff,0073b7,ffffff
B,1,1,2931,ZHU,0073b7,ffffff,0073b7
C,1,23,2233,Utrecht,ffffff,0073b7,ffffff
C,3,16,4,BRT,ffffff,050505,ff8100
C,1,15,10,TFC,111111,f3f300,111111
C,1,11,36,KISS RT,f56600,012350,84b7ca
C,1,10,4267,WaW,ffffff,000000,ffe600
C,1,7,2707,DIRT,29ec34,563c0f,df6a0d
C,1,7,25,TeamPL,ffffff,ff1800,ff0000
C,1,5,1986,DBR,ffffff,eb7b2a,ffffff
C,1,3,4136,FastFitnessTips,ffffff,121219,ffff00
D,20,389,2639,HERD,383c3d,fc6719,383c3d
D,1,77,1818,Cycle Lodge,ffffff,0073b7,ffffff
D,1,75,1940,Vixen/Fox,7409a6,f79d4b,ffffff
D,1,73,1677,Team Fearless,001f3f,39cccc,01ff70
D,1,61,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
D,1,49,1241,team moose,ffffff,0073b7,ffffff
D,1,41,10,TFC,111111,f3f300,111111
D,1,15,791,Race3R,000000,2bc3f4,ffffff
D,1,13,35,BZR cycling team,f3f300,111111,dd4b39
D,1,12,1426,Team CLS,3d9970,ffffff,ffffff
D,1,11,90,Vikings,c2c2c2,0073b7,ee6331
D,1,10,25,TeamPL,ffffff,ff1800,ff0000
D,1,10,3157,Revo,ffffff,0d0707,ed0303
D,1,9,4,BRT,ffffff,050505,ff8100
D,1,6,4623,Chamois Butt&rsquo;r,ffffff,0073b7,ffffff
D,2,2,2707,DIRT,29ec34,563c0f,df6a0d
D,1,1,2160,SCHEELS,f20715,140404,f20715
D,1,1,1348,SAS CYCLE CLUB,236192,ffffff,236192
D,1,1,2013,IBTC,ffffff,0073b7,ffffff
