category,events,points,tid,tname,tc,tbc,tbd
A,1,18,6077,District Taco Racing,000000,fcff33,000000
A,1,18,7222,SHCW,ffffff,0073b7,ffffff
A,1,15,10683,PETA-Z,ff0000,ffff00,000000
A,1,13,11081,DoZo,ffffff,b72100,ffffff
A,1,11,60,TBR Racing,ffffff,0073b7,ffffff
A,2,10,9976,Valhalla,ffffff,0073b7,ff4500
A,1,10,2740,Team CRYO-GEN,ffffff,009fe3,0c1e4f
A,1,10,11157,Cycle Nation,c74343,000000,d9d9d9
A,1,9,9947,KARAN BEEF,ffffff,ff0000,000000
A,1,7,5522,RAFCA,e81d1d,ffffff,0073b7
A,1,7,7637,NCT,ffffff,ff4545,fdff45
A,1,5,6910,Greek Zwifters,ffffff,0073b7,ffffff
B,3,34,2707,DIRT,29ec34,211208,df6a0d
B,2,18,4,BRT,ffffff,050505,ff8100
B,1,15,7612,WVS,ffff00,000000,ff0000
B,1,11,11248,SM40,ffffff,0073b7,ffffff
B,1,11,8607,RAMcc,ffffff,0073b7,ffffff
B,1,10,4630,TugaZ,ffffff,ff1f00,33735b
B,1,10,1469,TeamZF(Spokes.fit),f5f5f5,0623a9,cf3a42
B,1,7,2639,HERD,383c3d,fc6719,383c3d
B,1,3,2146,ZESP,000000,fabd00,ad1519
B,1,1,6389,GBST,ffffff,0073b7,ffffff
C,2,28,7830,ZODIAC,ffffff,000000,000000
C,2,20,4201,WTRL,d4af37,000000,d4af37
C,2,18,5151,USM Villeparisis,ffffff,eb0e0e,535cc9
C,1,15,6431,CIZL,ffffff,0073b7,ffffff
C,2,12,90,Vikings,c2c2c2,0073b7,ee6331
C,1,7,36,KISS RT,f56600,012350,84b7ca
C,1,7,7,TeamODZ,ff851b,111111,3c8dbc
C,1,7,1845,VEGAN,ffffff,00a65a,0adb2c
D,3,67,1986,DBR,ffffff,eb7b2a,ffffff
D,3,59,1740,FinishStrong,ffffff,0073b7,ffffff
D,3,57,10,TFC,111111,f3f300,111111
D,5,42,4,BRT,ffffff,050505,ff8100
D,1,25,4742,EVOLUTION,ff09ff,2e1c1c,ff09ff
D,2,24,4095,All,ffffff,0073b7,ffffff
D,1,21,7119,NDCA,ffffff,ffa500,000000
D,2,20,4630,TugaZ,ffffff,ff1f00,33735b
D,1,18,4201,WTRL,d4af37,000000,d4af37
D,1,18,2013,IBTC,ffffff,0073b7,ffffff
D,1,17,1187,SAKARI,001dff,46ff00,31b6fc
D,1,17,7423,England CC,ffffff,d24848,3b3b6b
D,1,11,36,KISS RT,f56600,012350,84b7ca
D,1,11,975,Innovation,000000,52ff33,000000
D,1,7,90,Vikings,c2c2c2,0073b7,ee6331
D,1,5,8662,STRABICITEAM,fa0d0d,01080a,fa0d0d
