category,events,points,tid,tname,tc,tbc,tbd
A,12,521,2672,REVO,fc00e3,000000,fc00e3
A,6,283,4,BRT,ffffff,050505,ff8100
A,6,192,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
A,3,95,629,Team AHDR,fc6955,55d4fc,ffffff
A,1,40,6049,Scott ITA V,ffec00,000000,ffec00
A,1,28,4397,HEINO RT,ffffff,ff0000,ff3b3b
A,1,28,1826,BOC,ffffff,0073b7,ffffff
A,1,28,1677,Team Fearless,001f3f,00dacc,00ff00
A,1,25,7055,TRINX TEAM,ffffff,0073b7,ffffff
A,1,25,7301,LiveByCycling,ffffff,01b2cc,fc6719
A,1,20,391,Team SUI,ffffff,ff0017,ffffff
A,1,19,2586,LaPrima,ffffff,0b1838,ff69b4
A,1,16,1634,[DRAFT],ffffff,e60d2e,000000
B,12,517,2672,REVO,fc00e3,000000,fc00e3
B,12,422,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
B,4,130,90,Vikings,c2c2c2,0073b7,ee6331
B,3,84,4,BRT,ffffff,050505,ff8100
B,3,74,168,Team Type 1,ffffff,0073b7,ffffff
B,2,61,161,ZSUNR,ffd808,1c1300,ffffff
B,1,50,629,Team AHDR,fc6955,55d4fc,ffffff
B,2,45,10,TFC,111111,f3f300,111111
B,1,40,7301,LiveByCycling,ffffff,01b2cc,fc6719
B,1,25,7402,NGCA,000000,d42828,000000
B,1,22,7948,SDBC,ffffff,ec1d25,231f20
B,1,20,4200,OrkneyCC,de3232,0f0606,eb3636
B,1,19,1845,VEGAN,ffffff,00a65a,0adb2c
B,1,18,3978,GND-MI,290b0b,ede41a,000000
B,1,18,1677,Team Fearless,001f3f,00dacc,00ff00
C,12,573,2672,REVO,fc00e3,000000,fc00e3
C,12,362,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
C,5,145,4,BRT,ffffff,050505,ff8100
C,3,78,1940,Vixen/Fox,7409a6,f79d4b,ffffff
C,2,62,4327,CCBR,ff0000,f5f5f5,000000
C,1,40,2689,PainCave,ffffff,0073b7,ffffff
C,1,40,4024,Killer B,ffffff,0073b7,ffffff
C,1,40,5726,Kings and Queens,ffffff,000203,fc1010
C,1,25,2571,Equipe JZQc,ffffff,003399,ffffff
C,1,25,7896,Hopey,000000,ffe600,190000
C,1,22,7301,LiveByCycling,ffffff,01b2cc,fc6719
C,1,18,142,FK Team,ffffff,0073b7,ffffff
C,1,18,588,Team Italy,dd4b39,ffffff,00a65a
C,1,16,161,ZSUNR,ffd808,1c1300,ffffff
C,1,11,7,TeamODZ,ff851b,111111,3c8dbc
D,12,533,2672,REVO,fc00e3,000000,fc00e3
D,8,370,2740,Team CRYO-GEN,ffffff,0073b7,ffffff
D,3,89,36,KISS RT,f56600,012350,84b7ca
D,1,50,4,BRT,ffffff,050505,ff8100
D,1,33,1940,Vixen/Fox,7409a6,f79d4b,ffffff
D,1,28,7,TeamODZ,ff851b,111111,3c8dbc
D,1,28,2639,HERD,383c3d,fc6719,383c3d
D,1,25,161,ZSUNR,ffd808,1c1300,ffffff
